"Laboratory Name","Lab Id","User Name",Mobile,Email,State,District,Disciplines,"Certificate No","Date of Issue","Date of Expiry",Address,"Pin Code"
"GOVERNMENT PRIMARY HEALTH CENTRE - RAJATHOPPU
",M(EL)T-01036,NABLBCL004261,9944409511,dphl.dharmapuri@gmail.com,"Tamil Nadu",DHARMAPURI,"Clinical Biochemistry",NABL-M(EL)T-00775,"2023-10-11 00:00:00","26-10-11 00:00:00","Dharmapuri Block, Dharmapuri District, Tamil Nadu - 636704, India
",636704
"GOVERNMENT PRIMARY HEALTH CENTRE - KARUMBANOOR
",M(EL)T-01037,NABLBCL004339,8695504290,karumbanoorphc@gmail.com,"Tamil Nadu",TIRUNELVELI,"Clinical Biochemistry",NABL-M(EL)T-00776,"2023-10-11 00:00:00","26-10-11 00:00:00","Keelapavoor Block, Tenkasi District, Tamil Nadu - 627851, India
",627851
"GOVERNMENT PRIMARY HEALTH CENTRE - MALAIKOTTALAM 
",M(EL)T-01040,NABLBCL005364,8344239957,malaikottalamphc9@gmail.com,"Tamil Nadu",VILLUPURAM,"Clinical Biochemistry",NABL-M(EL)T-00777,"2023-10-11 00:00:00","26-10-11 00:00:00","Melur Block, Kallakurichi District, Tamil Nadu - 606203, India
",606203
"GOVERNMENT PRIMARY HEALTH CENTRE - T POTTAKOLLAI
",M(EL)T-00711,NABLBCL002567,9042438390,gphct.pottakollai@gmail.com,"Tamil Nadu",Ariyalur,"Clinical Biochemistry",NABL-M(EL)T-00778,"2023-10-12 00:00:00","26-10-12 00:00:00","Meensurity Block, Ariyalur District, Tamil Nadu - 621804, India",12010
"GOVERNMENT PRIMARY HEALTH CENTRE - NOWLOCK 
",M(EL)T-00970,NABLBCL002651,9092525611,phcnowlock@gmail.com,"Tamil Nadu",VELLORE,"Clinical Biochemistry",NABL-M(EL)T-00779,"2023-10-12 00:00:00","26-10-12 00:00:00","Walajah Block, Ranipet District, Tamil Nadu - 632401, India
",632401
"Kunal Bakshi",M(EL)T-01408,NABLBCL006215,9643491945,bakshikunal.7t@gmail.com,Delhi,"NORTH WEST","Clinical Biochemistry",NABL-M(EL)T-00780,"2023-10-16 16:19:17","26-10-16 16:19:17","  Rohini Delhi, NORTH WEST, Delhi 110089, India",110089
"GOVERNMENT PRIMARY HEALTH CENTRE - KARADIKUPPAM
",M(EL)T-01936,NABLBCL002999,9994904417,karadikuppamphc13@gmail.com,"Tamil Nadu",VELLORE,"Clinical Biochemistry",NABL-M(EL)T-00781,"2023-10-16 00:00:00","26-10-16 00:00:00","Sholinghur Block, Ranipet District, Tamil Nadu - 632505, India
",632505
"GOVERNMENT BLOCK PRIMARY HEALTH CENTRE - ANDIYAPPANUR
",M(EL)T-00971,NABLBCL003091,9488438993,andiyappanurbmo@gmail.com,"Tamil Nadu",VELLORE,"Clinical Biochemistry",NABL-M(EL)T-00782,"2023-10-16 00:00:00","26-10-16 00:00:00","Andiyapanur Block, Thirupathur District, Tamil Nadu - 635702, India
",635702
"GOVERNMENT BLOCK PRIMARY HEALTH CENTRE - ALATHAMBADI
",M(EL)T-00874,NABLBCL003112,9965607659,alathambadiphc@gmail.com,"Tamil Nadu",THIRUVARUR,"Clinical Biochemistry",NABL-M(EL)T-00783,"2023-10-16 00:00:00","26-10-16 00:00:00","Thiruthuraipoondi Block, Thiruvarur District, Tamil Nadu - 610203, India
",610203
"GOVERNMENT PRIMARY HEALTH CENTRE - SINGARAPETTAI
",M(EL)T-01072,NABLBCL003134,8610548309,ictcsingarapettai@gmail.com,"Tamil Nadu",KRISHNAGIRI,"Clinical Biochemistry",NABL-M(EL)T-00784,"2023-10-16 00:00:00","26-10-16 00:00:00","Uthangarai Block, Krishnagiri District, Tamil Nadu - 635307, India
",635307
"Redcliffe Lifetech Private Limited",M(EL)T-00883,NABLBCL003171,8979891946,pradeep.chaudhary@redcliffelabs.com,Punjab,BATHINDA,"Clinical Biochemistry",NABL-M(EL)T-00785,"2023-10-16 21:10:52","26-10-16 21:10:52","A-9, Civil Line, GT Road, Opposite Civil Hospital, Bathinda, BATHINDA, Punjab 151001, India",151001
"GOVERNMENT UPGRADED PRIMARY HEALTH CENTRE - POOVANTHI
",M(EL)T-00956,NABLBCL003414,9384114142,ictcpoovanthy@gmail.com,"Tamil Nadu",SIVAGANGA,"Clinical Biochemistry",NABL-M(EL)T-00786,"2023-10-16 00:00:00","26-10-16 00:00:00","Thiruppuvanam Block, Sivagangai District, Tamil Nadu - 630611, India
",630611
"GOVERNMENT BLOCK PRIMARY HEALTH CENTRE - PUDUVAYAL
",M(EL)T-00953,NABLBCL003423,9585147643,spoorana723@gmail.com,"Tamil Nadu",SIVAGANGA,"Clinical Biochemistry",NABL-M(EL)T-00787,"2023-10-16 00:00:00","26-10-16 00:00:00","Sakkottai Block, Sivagangai District, Tamil Nadu - 630108, India
",630108
"GOVERNMENT PRIMARY HEALTH CENTRE - ALAMATHY
",M(EL)T-00975,NABLBCL003498,7824888393,tlr.alamathi@gmail.com,"Tamil Nadu",THIRUVALLUR,"Clinical Biochemistry",NABL-M(EL)T-00788,"2023-10-16 00:00:00","26-10-16 00:00:00","Sholavaram Block, Thiruvallur District, Tamil Nadu - 600052, India
",600052
"GOVERNMENT PRIMARY HEALTH CENTRE - VELUR
",M(EL)T-01120,NABLBCL003522,8098391782,velurphc1@gmail.com,"Tamil Nadu",PERAMBALUR,"Clinical Biochemistry",NABL-M(EL)T-00789,"2023-10-16 00:00:00","26-10-16 00:00:00","Perambalur Block, Perambalur District, Tamil Nadu - 621104, India
",621104
"GOVERNMENT PRIMARY HEALTH CENTRE - THIRUNEELAKUDI 
",M(EL)T-01095,NABLBCL003573,7094262921,phcthiruneelakudi@gmail.com,"Tamil Nadu",THANJAVUR,"Clinical Biochemistry",NABL-M(EL)T-00790,"2023-10-16 00:00:00","26-10-16 00:00:00","Thiruvidaimaruthur Block, Thanjavur District, Tamil Nadu - 612105, India
",612101
"GOVERNMENT PRIMARY HEALTH CENTRE - MELAMATHUR
",M(EL)T-01385,NABLBCL003586,7358145957,melamathurphc@gmail.com,"Tamil Nadu",PERAMBALUR,"Clinical Biochemistry",NABL-M(EL)T-00791,"2023-10-16 00:00:00","26-10-16 00:00:00","Alathur Block, Perambalur District, Tamil Nadu, 621708, India
",621708
"GOVERNMENT BLOCK PRIMARY HEALTH CENTRE - KOLAKKANATHAM
",M(EL)T-01055,NABLBCL003591,9042118292,kolakkanathammsk@gmail.com,"Tamil Nadu",PERAMBALUR,"Clinical Biochemistry",NABL-M(EL)T-00792,"2023-10-16 00:00:00","26-10-16 00:00:00","Alathur Block, Perambalur District, Tamil Nadu, 621106, India
",621106
"GOVERNMENT PRIMARY HEALTH CENTRE - LATCHIVAKKAM
",M(EL)T-00974,NABLBCL003609,8778605191,tlr.lvakkam@gmail.com,"Tamil Nadu",THIRUVALLUR,"Clinical Biochemistry",NABL-M(EL)T-00793,"2023-10-16 00:00:00","26-10-16 00:00:00","Periyapalayam Block, Thiruvallur District, Tamil Nadu - 602026, India
",602026
"GOVERNMENT PRIMARY HEALTH CENTRE - KORATTI

",M(EL)T-01151,NABLBCL003621,9003032248,medicalofficerkorattiphc@gmail.com,"Tamil Nadu",VELLORE,"Clinical Biochemistry",NABL-M(EL)T-00794,"2023-10-16 00:00:00","26-10-16 00:00:00","Kandhili Block, Thirupathur District, Tamil Nadu - 635811, India
",635602
"GOVERNMENT PRIMARY HEALTH CENTRE - IDIGARAI 
",M(EL)T-01461,NABLBCL003634,8754736795,iddigaraiphc@gmail.com,"Tamil Nadu",COIMBATORE,"Clinical Biochemistry",NABL-M(EL)T-00795,"2023-10-16 00:00:00","26-10-16 00:00:00","Sskulam block, Coimbatore District, Tamil Nadu - 641022, India
",641022
"GOVERNMENT PRIMARY HEALTH CENTRE - SERKADU
",M(EL)T-01250,NABLBCL003639,9790481373,Serkadu.tnphc@gmail.com,"Tamil Nadu",VELLORE,"Clinical Biochemistry",NABL-M(EL)T-00796,"2023-10-16 00:00:00","26-10-16 00:00:00","Katpadi Block, Vellore District, Tamil Nadu - 632106, India
",632106
"GOVERNMENT PRIMARY HEALTH CENTRE - AZHAGAPPAPURAM
",M(EL)T-01074,NABLBCL003657,8508415868,mophcazhagai@gmail.com,"Tamil Nadu",KANNIYAKUMARI,"Clinical Biochemistry",NABL-M(EL)T-00797,"2023-10-16 00:00:00","26-10-16 00:00:00","Agastheeswaram Block, Kanniyakumari District, Tamil Nadu - 629401, India
",629401
"GOVERNMENT PRIMARY HEALTH CENTRE - MANNARKOVIL
",M(EL)T-01669,NABLBCL003680,6374282095,mannarkovil.phc@gmail.com,"Tamil Nadu",TIRUNELVELI,"Clinical Biochemistry",NABL-M(EL)T-00798,"2023-10-16 00:00:00","26-10-16 00:00:00","Ambasamudram Block, Tirunelveli District, Tamil Nadu - 627401, India
",627413
"GOVERNMENT PRIMARY HEALTH CENTRE - SUNDARAPERUMALKOIL
",M(EL)T-01235,NABLBCL003681,7598546892,spkoil41@gmail.com,"Tamil Nadu",THANJAVUR,"Clinical Biochemistry",NABL-M(EL)T-00799,"2023-10-16 00:00:00","26-10-16 00:00:00","Kumbakonam Block, Thanjavur Dsitrict, Tamil Nadu - 614208, India
",603209
"GOVERNMENT URBAN PRIMARY HEALTH CENTRE - THOLLAVILAI
",M(EL)T-01085,NABLBCL003683,9597143649,thollavilaiuphc@gmail.com,"Tamil Nadu",KANNIYAKUMARI,"Clinical Biochemistry",NABL-M(EL)T-00800,"2023-10-16 00:00:00","26-10-16 00:00:00","Agastheeswaram Block, Kanniyakumari District, Tamil Nadu - 629004, India",629004
"GOVERNMENT PRIMARY HEALTH CENTRE - SINGALEYARPURI
",M(EL)T-01015,NABLBCL003701,6369442689,sheebadavid78@gmail.com,"Tamil Nadu",KANNIYAKUMARI,"Clinical Biochemistry",NABL-M(EL)T-00801,"2023-10-16 00:00:00","26-10-16 00:00:00","Rajakkamangalamthurai Block, Kanniyakumari District, Tamil Nadu - 629602, India
",629602
"GOVERNMENT PRIMARY HEALTH CENTRE - MINNAL
",M(EL)T-01693,NABLBCL003704,9840180431,uma08maheshwari@gmail.com,"Tamil Nadu",VELLORE,"Clinical Biochemistry",NABL-M(EL)T-00802,"2023-10-16 00:00:00","26-10-16 00:00:00","Arakonam Block, Ranipet District, Tamil Nadu - 632510, India
",632510
"GOVERNMENT PRIMARY HEALTH CENTRE - ARALVOIMOZHI
",M(EL)T-01293,NABLBCL003706,6383917907,phcaralvoimozhy@gmail.com,"Tamil Nadu",KANNIYAKUMARI,"Clinical Biochemistry",NABL-M(EL)T-00803,"2023-10-16 00:00:00","26-10-16 00:00:00","Thovalai Block, Kanniyakumari District, Tamil Nadu - 629301, India
",629301
"GOVERNMENT PRIMARY HEALTH CENTRE - JAMMANAPUDUR
",M(EL)T-01431,NABLBCL003708,9585443935,jammanapudurphc2@gmail.com,"Tamil Nadu",VELLORE,"Clinical Biochemistry",NABL-M(EL)T-00804,"2023-10-16 00:00:00","26-10-16 00:00:00","Thirupathur Block, Thirupathur District, Tamil Nadu - 655652, India
",635652
"GOVERNMENT UPGRADED PRIMARY HEALTH CENTRE - ERISINAMPATTY
",M(EL)T-01071,NABLBCL003725,9159942012,tprepatti@gmail.com,"Tamil Nadu",TIRUPPUR,"Clinical Biochemistry",NABL-M(EL)T-00805,"2023-10-16 00:00:00","26-10-16 00:00:00","Udumalpet Block, Tiruppur District, Tamil Nadu - 642207, India
",642207
"GOVERNMENT BLOCK PRIMARY HEALTH CENTRE - BELUKURCHI 
",M(EL)T-01652,NABLBCL003748,7373685440,belukurichiphclab@gmail.com,"Tamil Nadu",NAMAKKAL,"Clinical Biochemistry",NABL-M(EL)T-00806,"2023-10-16 00:00:00","26-10-16 00:00:00","Sendamangalam Block, Namakkal District, Tamil Nadu - 637402, India
",637402
"GOVERNMENT PRIMARY HEALTH CENTRE - PUDUPATTU 
",M(EL)T-01709,NABLBCL003785,9488761305,pudupattuphc@gmail.com,"Tamil Nadu",VELLORE,"Clinical Biochemistry",NABL-M(EL)T-00807,"2023-10-16 00:00:00","26-10-16 00:00:00","Kaveripakkam Block, Ranipet District, Tamil Nadu - 632508, India
",632508
"GOVERNMENT PRIMARY HEALTH CENTRE - MAMBAKKAM
",M(EL)T-01390,NABLBCL003789,9095279960,mampakkamphc13@gmail.com,"Tamil Nadu",VELLORE,"Clinical Biochemistry",NABL-M(EL)T-00808,"2023-10-16 00:00:00","26-10-16 00:00:00","Thimiri Block, Ranipet District, Tamil Nadu - 632318, India
",632318
"GOVERNMENT PRIMARY HEALTH CENTRE - KOOTHADIPATTI
",M(EL)T-01175,NABLBCL003853,6369464854,dphl.dharmapuri@gmail.com,"Tamil Nadu",DHARMAPURI,"Clinical Biochemistry",NABL-M(EL)T-00809,"2023-10-16 00:00:00","26-10-16 00:00:00","Harur Block, Dharmapuri District, Tamil Nadu - 636902, India
",636902
"GOVERNMENT UPGRADED PRIMARY HEALTH CENTRE - BAIRANATHAM
",M(EL)T-01236,NABLBCL003871,9994880901,dphl.dharmapuri@gmail.com,"Tamil Nadu",DHARMAPURI,"Clinical Biochemistry",NABL-M(EL)T-00810,"2023-10-16 00:00:00","26-10-16 00:00:00","Pappireddipatti Block, Dharmapuri District, Tamil Nadu - 636905, India
",636905
"GOVERNMENT PRIMARY HEALTH CENTRE - BOOTHANATHAM
",M(EL)T-01819,NABLBCL003872,6380151799,dphl.dharmapuri@gmail.com,"Tamil Nadu",DHARMAPURI,"Clinical Biochemistry",NABL-M(EL)T-00811,"2023-10-16 00:00:00","26-10-16 00:00:00","Pappireddipatti Block, Dharmapuri District, Tamil Nadu - 636904, India
",636904
"GOVERNMENT PRIMARY HEALTH CENTRE - MOOKAREDDIPATTI

",M(EL)T-01179,NABLBCL003874,9994402022,dphl.dharmapuri@gmail.com,"Tamil Nadu",DHARMAPURI,"Clinical Biochemistry",NABL-M(EL)T-00812,"2023-10-16 00:00:00","26-10-16 00:00:00","Pappireddipatti Block, Dharmapuri District, Tamil Nadu - 636905, India
",636905
"GOVERNMENT PRIMARY HEALTH CENTRE - VATHALMALAI
",M(EL)T-01414,NABLBCL003875,9943938833,dphl.dharmapuri@gmail.com,"Tamil Nadu",DHARMAPURI,"Clinical Biochemistry",NABL-M(EL)T-00813,"2023-10-16 00:00:00","26-10-16 00:00:00","Pappireddipatti Block, Dharmapuri District, Tamil Nadu - 636804, India
",636704
"GOVERNMENT PRIMARY HEALTH CENTRE - SITHERI
",M(EL)T-01354,NABLBCL003877,9952370428,dphl.dharmapuri@gmail.com,"Tamil Nadu",DHARMAPURI,"Clinical Biochemistry",NABL-M(EL)T-00814,"2023-10-16 00:00:00","26-10-16 00:00:00","Pappireddipatti Block, Dharmapuri District, Tamil Nadu - 636903, India
",636101
"GOVERNMENT BLOCK PRIMARY HEALTH CENTRE - MORAPPUR
",M(EL)T-01063,NABLBCL003878,9894381561,dphl.dharmapuri@gmail.com,"Tamil Nadu",DHARMAPURI,"Clinical Biochemistry",NABL-M(EL)T-00815,"2023-10-16 00:00:00","26-10-16 00:00:00","Morappur Block, Dharmapuri District, Tamil Nadu - 635305, India
",635305
"GOVERNMENT PRIMARY HEALTH CENTRE - RAMIYENAHALLI
",M(EL)T-01206,NABLBCL003881,9962311361,dphl.dharmapuri@gmail.com,"Tamil Nadu",DHARMAPURI,"Clinical Biochemistry",NABL-M(EL)T-00816,"2023-10-16 00:00:00","26-10-16 00:00:00","Morappur Block, Dharmapuri District, Tamil Nadu - 635302, India
",636904
"GOVERNMENT BLOCK PRIMARY HEALTH CENTRE - ERAYAMANGALAM
",M(EL)T-01728,NABLBCL003887,7092741519,nmk-emangalam.tnphc@nic.in,"Tamil Nadu",NAMAKKAL,"Clinical Biochemistry",NABL-M(EL)T-00817,"2023-10-16 00:00:00","26-10-16 00:00:00","Tiruchengode Block, Namakkal District, Tamil Nadu - 637102, India
",637210
"GOVERNMENT PRIMARY HEALTH CENTRE - KANJIKOVIL
",M(EL)T-01276,NABLBCL003894,9994456788,raadhi1984@gmail.com,"Tamil Nadu",ERODE,"Clinical Biochemistry",NABL-M(EL)T-00818,"2023-10-16 00:00:00","26-10-16 00:00:00","Perundurai Block, Erode  District, Tamil Nadu - 638116, India
",638116
"GOVERNMENT URBAN PRIMARY HEALTH CENTRE - RASIPURAM

 ",M(EL)T-01752,NABLBCL003903,9381051568,rasipuramuphc@gmail.com,"Tamil Nadu",NAMAKKAL,"Clinical Biochemistry",NABL-M(EL)T-00819,"2023-10-16 00:00:00","26-10-16 00:00:00","Rasipuram Block, Namakkal District, Tamil Nadu - 637408, India
",637408
"GOVERNMENT UPGRADED PRIMARY CENTRE - KOKKARAYANPETTAI
",M(EL)T-01687,NABLBCL003913,6369230267,kokkarayanpettaigphc@gmail.com,"Tamil Nadu",NAMAKKAL,"Clinical Biochemistry",NABL-M(EL)T-00820,"2023-10-16 00:00:00","26-10-16 00:00:00","Pallipalayam Block, Namakkal District, Tamil Nadu - 638007, India
",638007
"GOVERNMENT PRIMARY HEALTH CENTRE - KOTHANGUDI
",M(EL)T-01399,NABLBCL003967,7338934235,kothangudiphc123@gmail.com,"Tamil Nadu",THANJAVUR,"Clinical Biochemistry",NABL-M(EL)T-00821,"2023-10-16 00:00:00","26-10-16 00:00:00","Kumbakonam Block, Thanjavur District, Tamil Nadu - 612303, India
",612303
"GOVERNMENT PRIMARY HEALTH CENTRE - THALAYAMANGALAM
",M(EL)T-01054,NABLBCL003973,7010093480,rohitkavitha7@gmail.com,"Tamil Nadu",THIRUVARUR,"Clinical Biochemistry",NABL-M(EL)T-00822,"2023-10-16 00:00:00","26-10-16 00:00:00"," Mannargudi Block, Thiruvarur District, Tamil Nadu - 614016, India
",614016
"GOVERNMENT PRIMARY HEALTH CENTRE - KAMMANVANPETTAI
",M(EL)T-01630,NABLBCL003974,9629471212,kammavanpettaiphc@gmail.com,"Tamil Nadu",VELLORE,"Clinical Biochemistry",NABL-M(EL)T-00823,"2023-10-16 00:00:00","26-10-16 00:00:00","Kaniyambadi Block, Vellore District, Tamil Nadu - 632319, India
",632319
"GOVERNMENT PRIMARY HEALTH CENTRE - KALLOORANI
",M(EL)T-01862,NABLBCL003984,7358833619,phckalloorani@gmail.com,"Tamil Nadu",VIRUDHUNAGAR,"Clinical Biochemistry",NABL-M(EL)T-00824,"2023-10-16 00:00:00","26-10-16 00:00:00","Thiruchulli Block, Virudhunagar District, Tamil Nadu - 626105, India
",626105
"GOVERNMENT PRIMARY HEALTH CENTRE - ENAMKILIYUR
",M(EL)T-01230,NABLBCL003995,9597816399,enamkiliyurphc@gmail.com,"Tamil Nadu",THIRUVARUR,"Clinical Biochemistry",NABL-M(EL)T-00825,"2023-10-16 00:00:00","26-10-16 00:00:00","Valangaiman Block, Thiruvarur District, Tamil Nadu - 614208, India
",614207
"GOVERNMENT URBAN PRIMARY HEALTH CENTRE - SRIVILLIPUTHUR
",M(EL)T-01933,NABLBCL004001,9841589354,uphcsvpr@gmail.com,"Tamil Nadu",VIRUDHUNAGAR,"Clinical Biochemistry",NABL-M(EL)T-00826,"2023-10-16 00:00:00","26-10-16 00:00:00","Srivilliputhur Block, Virudhunagar District, Tamil Nadu - 626125, India
",626125
"GOVERNMENT BLOCK PRIMARY HEALTH CENTRE - ERIYUR
",M(EL)T-01214,NABLBCL004005,9092873456,dphl.dharmapuri@gmail.com,"Tamil Nadu",DHARMAPURI,"Clinical Biochemistry",NABL-M(EL)T-00827,"2023-10-16 00:00:00","26-10-16 00:00:00","Pennagaram Block, Dharmapuri District, Tamil Nadu - 636810, India
",636810
"GOVERNMENT PRIMARY HEALTH CENTRE - BOOTHALAPURAM
",M(EL)T-02002,NABLBCL004017,8903245409,phcboothalapuram123@gmail.com,"Tamil Nadu",TUTICORIN,"Clinical Biochemistry",NABL-M(EL)T-00828,"2023-10-16 00:00:00","26-10-16 00:00:00","Pudur Block, Tuticorin District, Tamil Nadu - 628905, India
",628905
"GOVERNMENT PRIMARY HEALTH CENTRE - VALAYAPATTI 
",M(EL)T-01633,NABLBCL004019,8012502136,satheeshmicrolab@gmail.com,"Tamil Nadu",NAMAKKAL,"Clinical Biochemistry",NABL-M(EL)T-00829,"2023-10-16 00:00:00","26-10-16 00:00:00","Palapatti Block, Namakkal District, Tamil Nadu - 637020, India
",637020
"GOVERNMENT PRIMARY HEALTH CENTRE - KADAMADAI
",M(EL)T-01227,NABLBCL004020,9442157105,dphl.dharmapuri@gmail.com,"Tamil Nadu",DHARMAPURI,"Clinical Biochemistry",NABL-M(EL)T-00830,"2023-10-16 00:00:00","26-10-16 00:00:00","Pennagaram Block, Dharmapuri District, Tamil Nadu - 636810, India
",636811
"GOVERNMENT PRIMARY HEALTH CENTRE - PERUMBALAI
",M(EL)T-01187,NABLBCL004031,9791535464,dphl.dharmapuri@gmail.com,"Tamil Nadu",DHARMAPURI,"Clinical Biochemistry",NABL-M(EL)T-00831,"2023-10-16 00:00:00","26-10-16 00:00:00","Pennagaram Block, Dharmapuri District, Tamil Nadu - 636811, India
",636811
"GOVERNMENT URBAN PRIMARY HEALTH CENTRE - THIRUPATHUR
",M(EL)T-01638,NABLBCL004036,9585443935,tirupatturuphc@gmail.com,"Tamil Nadu",VELLORE,"Clinical Biochemistry",NABL-M(EL)T-00832,"2023-10-16 00:00:00","26-10-16 00:00:00","Thirupathur Block, Thirupathur District, Tamil Nadu - 635601, India
",635601
"GOVERNMENT PRIMARY HEALTH CENTRE - SELLAMUDI
",M(EL)T-01498,NABLBCL004044,8508958432,dphl.dharmapuri@gmail.com,"Tamil Nadu",DHARMAPURI,"Clinical Biochemistry",NABL-M(EL)T-00833,"2023-10-16 00:00:00","26-10-16 00:00:00","Pennagaram Block, Dharmapuri District, Tamil Nadu - 636810, India
",636810
"GOVERNMENT UPGRADED PRIMARY HEALTH CENTRE - KALUGUMALAI
",M(EL)T-01997,NABLBCL004120,9944844421,phckalugumalai@gmail.com,"Tamil Nadu",TUTICORIN,"Clinical Biochemistry",NABL-M(EL)T-00834,"2023-10-16 00:00:00","26-10-16 00:00:00","Kayathar Block, Tuticorin District, Tamil Nadu - 628552, India
",628552
"GOVERNMENT BLOCK PRIMARY HEALTH CENTRE - M PUDUPATTI
",M(EL)T-02073,NABLBCL004147,8056999715,Ski-mppatti.tnphc@nic.in,"Tamil Nadu",VIRUDHUNAGAR,"Clinical Biochemistry",NABL-M(EL)T-00835,"2023-10-16 00:00:00","26-10-16 00:00:00","Sivakasi Block, Virudhunagar District, Tamil Nadu - 626130, India
",626130
"GOVERNMENT BLOCK PRIMARY HEALTH CENTRE - KARIMANGALAM
",M(EL)T-01231,NABLBCL004149,9843698245,dphl.dharmapuri@gmail.com,"Tamil Nadu",DHARMAPURI,"Clinical Biochemistry",NABL-M(EL)T-00836,"2023-10-16 00:00:00","26-10-16 00:00:00","Karimangalam Block, Dharmapuri District, Tamil Nadu - 635111, India
",635111
"GOVERNMENT PRIMARY HEALTH CENTRE - K V KUPPAM
",M(EL)T-01857,NABLBCL004151,9361782686,phckvkuppam1981@gmail.com,"Tamil Nadu",VELLORE,"Clinical Biochemistry",NABL-M(EL)T-00837,"2023-10-16 00:00:00","26-10-16 00:00:00","K. V. Kuppam Block, Vellore District, Tamil Nadu - 632201, India
",633201
"GOVERNMENT URBAN PRIMARY HEALTH CENTRE - TP MILLS
",M(EL)T-02137,NABLBCL004171,8248672244,guphuc1rajapalayam@gmail.com,"Tamil Nadu",VIRUDHUNAGAR,"Clinical Biochemistry",NABL-M(EL)T-00838,"2023-10-16 00:00:00","26-10-16 00:00:00","Rajapalayam Block, Virudhunagar District, Tamil Nadu - 626117, India
",626117
"GOVERNMENT URBAN PRIMARY HEALTH CENTRE - GOBICHETTIPALAYAM

",M(EL)T-01065,NABLBCL004172,9688820594,uphcgobi@gmail.com,"Tamil Nadu",ERODE,"Clinical Biochemistry",NABL-M(EL)T-00839,"2023-10-16 00:00:00","26-10-16 00:00:00","Gobichettipalayam Block, Erode District, Tamil Nadu - 638054, India
",638452
"GOVERNMENT BLOCK PRIMARY  HEALTH CENTRE - KUNICHI
",M(EL)T-01159,NABLBCL004175,9047803542,kunichibmo@gmail.com,"Tamil Nadu",VELLORE,"Clinical Biochemistry",NABL-M(EL)T-00840,"2023-10-16 00:00:00","26-10-16 00:00:00","Kandhili Block, Thirupathur District, Tamil Nadu - 635602, India
",635602
"GOVERNMENT PRIMARY HEALTH CENTRE - SINGALANDAPURAM
",M(EL)T-01742,NABLBCL004193,8012582525,gphcs.puram@gmail.com,"Tamil Nadu",NAMAKKAL,"Clinical Biochemistry",NABL-M(EL)T-00841,"2023-10-16 00:00:00","26-10-16 00:00:00","Rasipuram Block, Namakkal District, Tamil Nadu - 637412, India
",637412
"GOVERNMENT BLOCK PRIMARY HEALTH CENTRE - ZAMINKOLLANKONDAN
",M(EL)T-01070,NABLBCL004209,9345320382,skizaminkollankondantnphc@gmail.com,"Tamil Nadu",VIRUDHUNAGAR,"Clinical Biochemistry",NABL-M(EL)T-00842,"2023-10-16 00:00:00","26-10-16 00:00:00","Rajapalayam Block, Virudhunagar District, Tamil Nadu - 626142, India
",626142
"GOVERNMENT PRIMARY HEALTH CENTRE - CHELLAPPAMPALAYAM
",M(EL)T-01059,NABLBCL004221,9159942012,chellapampalayamphc@gmail.com,"Tamil Nadu",TIRUPPUR,"Clinical Biochemistry",NABL-M(EL)T-00843,"2023-10-16 00:00:00","26-10-16 00:00:00","Udumalpet Block, Tiruppur District, Tamil Nadu - 642207, India
",642207
"GOVERNMENT BLOCK PRIMARY HEALTH CENTRE - THENTHIRUPERAI
",M(EL)T-01951,NABLBCL004230,7708806917,tutttperai.tnphc@gmail.com,"Tamil Nadu",TUTICORIN,"Clinical Biochemistry",NABL-M(EL)T-00844,"2023-10-16 00:00:00","26-10-16 00:00:00","Alwarthirunagari Block, Tuticorin District, Tamil Nadu - 628623, India
",628623
"GOVERNMENT PRIMARY HEALTH CENTRE - SINGATHAKURICHI
",M(EL)T-02013,NABLBCL004232,9600409935,tutskuruchi.tnphc@gmail.com,"Tamil Nadu",TUTICORIN,"Clinical Biochemistry",NABL-M(EL)T-00845,"2023-10-16 00:00:00","26-10-16 00:00:00","Karungulam Block, Tuticorin District, Tamil Nadu - 628615, India
",628851
"GOVERNMENT PRIMARY HEALTH CENTRE - PERIYAMPATTI
",M(EL)T-01262,NABLBCL004236,9655311381,dphl.dharmapuri@gmail.com,"Tamil Nadu",DHARMAPURI,"Clinical Biochemistry",NABL-M(EL)T-00846,"2023-10-16 00:00:00","26-10-16 00:00:00","Karimangalam Block, Dharmapuri District, Tamil Nadu - 635205, India
",635205
"GOVERNMENT PRIMARY HEALTH CENTRE - JAKKASAMUDRAM
",M(EL)T-01226,NABLBCL004245,9789480641,dphl.dharmapuri@gmail.com,"Tamil Nadu",DHARMAPURI,"Clinical Biochemistry",NABL-M(EL)T-00847,"2023-10-16 00:00:00","26-10-16 00:00:00","Karimangalam Block, Dharmapuri District, Tamil Nadu - 636805, India
",636805
"GOVERNMENT BLOCK PRIMARY HEALTH CENTRE - D THURINJIPATTI
",M(EL)T-01109,NABLBCL004258,8825611778,dphl.dharmapuri@gmail.com,"Tamil Nadu",DHARMAPURI,"Clinical Biochemistry",NABL-M(EL)T-00848,"2023-10-16 00:00:00","26-10-16 00:00:00","Dharmapuri Block, Dharmapuri District, Tamil Nadu - 635202, India
",635702
